nation_id,nation_name,region_key,region_name,comment
0,ALGERIA,0,AFRICA,haggle. carefully final deposits detect slyly agai
1,ARGENTINA,1,AMERICA,al foxes promise slyly according to the regular accounts
2,BRAZIL,1,AMERICA,y alongside of the pending deposits
3,CANADA,1,AMERICA,eas hang ironic silent packages
4,EGYPT,4,MIDDLE EAST,y above the carefully unusual theodolites
5,ETHIOPIA,0,AFRICA,ven packages wake quickly
6,FRANCE,3,EUROPE,refully final requests
7,GERMANY,3,EUROPE,l platelets. regular accounts x-ray
8,INDIA,2,ASIA,ss excuses cajole slyly across the packages
9,INDONESIA,2,ASIA, slyly express asymptotes
10,IRAN,4,MIDDLE EAST,efully alongside of the slyly final dependencies
11,IRAQ,4,MIDDLE EAST,nic deposits boost atop the quickly final requests
12,JAPAN,2,ASIA,ously. final express gifts cajole a
13,JORDAN,4,MIDDLE EAST,ic deposits are blithely about the carefully ironic paints
14,KENYA,0,AFRICA, pending excuses haggle furiously deposits
15,MOROCCO,0,AFRICA,rns. blithely bold courts among the closely regular packages
16,MOZAMBIQUE,0,AFRICA,s. ironic unusual asymptotes wake blithely r
17,PERU,1,AMERICA,platelets. blithely pending dependencies use fluffily
18,CHINA,2,ASIA,c dependencies. furiously express notornis sleep slyly regular
19,ROMANIA,3,EUROPE,ular asymptotes are about the furious multipliers
20,SAUDI ARABIA,4,MIDDLE EAST,ts. silent requests haggle
21,VIETNAM,2,ASIA,hely enticingly express accounts
22,RUSSIA,3,EUROPE, requests against the platelets use never
23,UNITED KINGDOM,3,EUROPE,eans boost carefully special requests
24,UNITED STATES,1,AMERICA,y final packages. slow foxes cajole quickly